,id,model,rmse,mape,mase
0,17410306,mean,169,1.9316815932032188e+16,0.85
1,17410306,Linear model,116,9676737241611734.0,0.47
2,17410306,Random Walk,209,2.2284044909456612e+16,1.09
3,17410306,Moving average,118,1.2771517015867368e+16,0.5
4,17410306,XGBoost,89,9443890340892946.0,0.41
5,17410306,Arima,127,1.1431339403427996e+16,0.52
6,17410306,Prophet,171,2.089772615467282e+16,0.85
7,20410301,mean,162,2.066936381061619e+16,1.04
8,20410301,Linear model,100,1.4108485225811462e+16,0.56
9,20410301,Random Walk,107,1.5644082916129094e+16,0.61
10,20410301,Moving average,105,1.5342614776264714e+16,0.59
11,20410301,XGBoost,79,1.4548078151755366e+16,0.44
12,20410301,Arima,108,1.4310356237595034e+16,0.61
13,20410301,Prophet,171,2.2726875560995588e+16,1.09
14,00610101,mean,61,1.61,1.02
15,00610101,Linear model,40,0.61,0.54
16,00610101,Random Walk,84,2.15,1.43
17,00610101,Moving average,43,1.11,0.71
18,00610101,XGBoost,37,0.84,0.48
19,00610101,Arima,43,0.95,0.67
20,00610101,Prophet,60,1.54,1.01
21,20010301,mean,102,1.04,0.92
22,20010301,Linear model,68,0.5,0.5
23,20010301,Random Walk,79,0.75,0.67
24,20010301,Moving average,81,0.78,0.7
25,20010301,XGBoost,66,0.47,0.5
26,20010301,Arima,128,1.3,1.12
27,20010301,Prophet,108,1.03,0.94
28,17416706,mean,111,1.1669896254422214e+16,0.89
29,17416706,Linear model,80,5386107131693748.0,0.53
30,17416706,Random Walk,80,6814657330889567.0,0.54
31,17416706,Moving average,99,1.0536414288778022e+16,0.77
32,17416706,XGBoost,69,6494684045604728.0,0.53
33,17416706,Arima,86,6208715913883496.0,0.61
34,17416706,Prophet,110,1.0907134798392986e+16,0.89
35,17444106,mean,115,1.1263263611453356e+16,0.97
36,17444106,Linear model,91,5039968138199003.0,0.56
37,17444106,Random Walk,109,3436957610361694.5,0.7
38,17444106,Moving average,90,6969187459797509.0,0.59
39,17444106,XGBoost,69,4510689186720427.0,0.51
40,17444106,Arima,99,1.0978656195591856e+16,0.74
41,17444106,Prophet,119,1.100593278520975e+16,1.02
42,21510310,mean,151,6.5095959771981944e+16,0.71
43,21510310,Linear model,168,7.72090520771615e+16,0.75
44,21510310,Random Walk,156,5.554439540423613e+16,0.7
45,21510310,Moving average,180,7.916310755673752e+16,0.82
46,21510310,XGBoost,159,3.0391252724674284e+16,0.69
47,21510310,Arima,282,1.0163174636570195e+17,1.27
48,21510310,Prophet,174,7.908751095279837e+16,0.76
49,17417006,mean,76,7580244659519366.0,0.88
50,17417006,Linear model,55,3291708840334915.0,0.51
51,17417006,Random Walk,118,1.0644871846512084e+16,1.43
52,17417006,Moving average,56,4945146992442636.0,0.55
53,17417006,XGBoost,42,3783399181665349.0,0.43
54,17417006,Arima,59,3015385513820140.0,0.53
55,17417006,Prophet,75,6991675569226102.0,0.86
56,03450102,mean,115,5896148077270547.0,1.13
57,03450102,Linear model,115,1.4840001334142036e+16,1.17
58,03450102,Random Walk,142,3436957610361694.5,1.37
59,03450102,Moving average,125,4867718031960737.0,1.21
60,03450102,XGBoost,96,8243777407811584.0,0.94
61,03450102,Arima,142,1539200458903003.5,1.38
62,03450102,Prophet,114,5977943504989082.0,1.11
63,20510301,mean,66,1.55,1.01
64,20510301,Linear model,47,0.85,0.56
65,20510301,Random Walk,75,1.77,1.18
66,20510301,Moving average,60,1.39,0.89
67,20510301,XGBoost,44,0.99,0.59
68,20510301,Arima,61,1.25,0.83
