,id,model,rmse,mape,mase
0,17410306,mean,176,1.29,0.9
1,17410306,Linear model,113,0.58,0.48
2,17410306,Random Walk,206,1.52,1.09
3,17410306,Moving average,116,0.63,0.49
4,17410306,XGBoost,87,0.47,0.4
5,20410301,mean,158,0.9,1.02
6,20410301,Linear model,98,0.47,0.55
7,20410301,Random Walk,121,0.66,0.74
8,20410301,Moving average,98,0.46,0.55
9,20410301,XGBoost,78,0.32,0.46
10,00610101,mean,61,1.61,1.02
11,00610101,Linear model,40,0.61,0.54
12,00610101,Random Walk,84,2.15,1.43
13,00610101,Moving average,43,1.11,0.71
14,00610101,XGBoost,37,0.84,0.48
15,20010301,mean,102,1.04,0.92
16,20010301,Linear model,68,0.5,0.5
17,20010301,Random Walk,79,0.75,0.67
18,20010301,Moving average,81,0.78,0.7
19,20010301,XGBoost,66,0.47,0.5
20,17416706,mean,111,1.6,0.9
21,17416706,Linear model,80,0.69,0.53
22,17416706,Random Walk,151,2.22,1.3
23,17416706,Moving average,80,0.8,0.55
24,17416706,XGBoost,69,0.74,0.54
25,17444106,mean,115,1.67,0.98
26,17444106,Linear model,90,0.69,0.56
27,17444106,Random Walk,90,0.77,0.58
28,17444106,Moving average,92,0.7,0.58
29,17444106,XGBoost,70,0.78,0.53
30,21510310,mean,156,0.34,0.73
31,21510310,Linear model,158,0.39,0.74
32,21510310,Random Walk,162,0.32,0.72
33,21510310,Moving average,164,0.31,0.72
34,21510310,XGBoost,147,0.3,0.66
35,17417006,mean,76,1.98,0.89
36,17417006,Linear model,54,0.83,0.5
37,17417006,Random Walk,117,3.04,1.42
38,17417006,Moving average,55,1.08,0.55
39,17417006,XGBoost,43,0.78,0.45
40,03450102,mean,113,0.63,1.12
41,03450102,Linear model,124,1.44,1.28
42,03450102,Random Walk,131,0.58,1.27
43,03450102,Moving average,122,0.59,1.18
44,03450102,XGBoost,95,0.74,0.97
45,20510301,mean,66,1.55,1.01
46,20510301,Linear model,47,0.85,0.56
47,20510301,Random Walk,75,1.77,1.18
48,20510301,Moving average,60,1.39,0.89
49,20510301,XGBoost,44,0.99,0.59
50,13454010,mean,51,0.99,0.64
51,13454010,Linear model,51,0.53,0.57
52,13454010,Random Walk,44,0.64,0.5
53,13454010,Moving average,44,0.74,0.52
54,13454010,XGBoost,41,0.71,0.51
55,134123,mean,54,0.84,0.97
56,134123,Linear model,42,0.53,0.67
57,134123,Random Walk,42,0.54,0.67
58,134123,Moving average,49,0.38,0.7
59,134123,XGBoost,38,0.41,0.58
60,17010302,mean,60,2.8,0.81
61,17010302,Linear model,53,2.5,0.72
62,17010302,Random Walk,45,1.94,0.57
63,17010302,Moving average,44,1.65,0.54
64,17010302,XGBoost,42,1.3,0.5
65,29963901,mean,52,0.71,0.69
66,29963901,Linear model,59,0.42,0.66
67,29963901,Random Walk,71,1.15,0.96
68,29963901,Moving average,51,0.54,0.63
69,29963901,XGBoost,43,0.49,0.55
70,913460915,mean,46,0.64,0.68
71,913460915,Linear model,44,0.4,0.56
72,913460915,Random Walk,47,0.38,0.58
73,913460915,Moving average,43,0.42,0.56
74,913460915,XGBoost,46,0.47,0.69
75,21544101,mean,179,0.47,1.68
76,21544101,Linear model,223,0.91,2.18
77,21544101,Random Walk,124,0.32,1.07
78,21544101,Moving average,102,0.37,0.91
79,21544101,XGBoost,116,0.3,1.02
80,161840,mean,45,1.12,0.7
81,161840,Linear model,42,0.79,0.6
82,161840,Random Walk,45,1.12,0.7
83,161840,Moving average,50,1.32,0.83
84,161840,XGBoost,30,0.66,0.45
85,91346826,mean,78,1.79,0.63
86,91346826,Linear model,84,1.26,0.64
87,91346826,Random Walk,86,1.12,0.66
88,91346826,Moving average,93,0.82,0.7
89,91346826,XGBoost,72,2.0,0.65
90,17412006,mean,48,3.11,0.75
91,17412006,Linear model,38,1.58,0.47
92,17412006,Random Walk,86,5.25,1.46
93,17412006,Moving average,43,2.73,0.64
94,17412006,XGBoost,29,1.11,0.44
95,9134725,mean,67,0.88,0.98
96,9134725,Linear model,94,0.75,1.47
97,9134725,Random Walk,63,1.02,0.96
98,9134725,Moving average,80,0.72,1.19
99,9134725,XGBoost,77,0.53,1.11
100,20416701,mean,40,1.09,0.65
101,20416701,Linear model,35,0.54,0.46
102,20416701,Random Walk,47,1.35,0.82
103,20416701,Moving average,39,0.49,0.53
